词频,单词,发音,中文
4,platform,[pl?tf??m],n. 车站 月台 讲台 讲坛 平台
4,gain,[ɡe?n],n.财物的增加 财富的获取 利润 腰槽 收获vt.得到 增进 赚到 开腰槽于vi.获利 增加
4,harvard,[?hɑ?v?d], 美国哈佛大学
4,symptom,[s?mpt?m],n.[医][植]症状 征兆
4,consequence,[k?ns?kw?ns],n.结果 [逻]推理 推论 因果关系 重要的地位
4,provider,[pr?'va?d?],n.供给者 供应者 养家者
4,increasingly,[?n'kri?s??li],adv.日益 愈加
4,achieve,[?'t?i?v],vt.完成 达到
4,sign,[sa?n],n.标记 符号 记号 征兆 迹象 征候v.签名 于  署名 于 ～ 签署
4,norm,[n??m],n.标准 规范
4,shift,[??ft],n.移动 轮班 移位 变化 办法 手段vt.替换 转移 改变 移转 推卸 变速vi.转换 移动 转变 推托 变速
4,pass,[pɑ?s],n.经过 关口 途径 护照 通行证 入场券 传球 及格vt.通过 审查通过 忽略 传递vi.经过 变化 流通 宣判 被忽略 终止 传递 不叫牌
4,rely,[r?'la?],v.依赖 依靠 信赖 信任 依赖于
4,chair,[t?e?],n.椅子 教授职位 主席位 讲座vt.使入座 使就任要职
4,purpose,[p??p?s],n.目的 意图 用途 效果 决心 意志vt.打算 企图 决心
4,since,[s?ns],adv.以后 后来 以前 prep.自从 自...以来 conj.自...以后 自...以来 因为 既然
4,pas,[pɑ?],n.舞步 舞蹈
4,represent,[repr?'zent],vt.表现 描绘 声称 象征 扮演 回忆 再赠送 再上演vi.提出异议
4,negatively,[neɡ?t?vl?],adv.否定地 消极地
4,conclude,[k?n'klu?d],v.结束 终止 决定 作出结论vt.推断 断定 缔结 议定
4,knowledge,[n?l?d?],n.知识 学问 认识 知道 <古>学科
4,define,[d?'fa?n],vt.定义 详细说明
4,prove,[pru?v],vt.证明 证实 检验 考验vi.原来 是  证明 是 
4,gene,[d?i?n],n.[遗传]因子 [遗传]基因 Gene 吉恩 男子名 
4,interact,[?nt?r'?kt],vi.互相作用 互相影响
4,tool,[tu?l],n.工具 用具 爪牙 走狗 手段vt.用工具加工 使用设备vi.使用工具
4,instance,[?nst?ns],n.实例 建议 要求 情况 场合vt.举...为例 获得例证
4,exact,[?ɡ'z?kt],adj.精确的 准确的 原样的 精密的 严格vt.强求 急需 要求
4,race,[re?s],n.种族 种族气质 种族特征 赛跑 急流 姜根vi.赛跑 疾走vt.与...赛跑 使空转
4,analyze,[?n?la?z],vt.分析 分解
4,drastically,[drɑ?st?kl?],adv.激烈地 彻底地
4,million,[m?lj?n], num.百万 百万个n.[pl.] 无数
4,screen,[skri?n],n.屏 银幕 筛子 掩蔽物 屏风vt.掩蔽 包庇 放映 拍摄 筛vi.拍电影
4,necessarily,[nes?'ser?li],adv.必要地
4,generation,[d?en?'re???n],n.产生 发生 一代 一代人
4,past,[pɑ?st],n.过去 往时adj.过去的 结束的 prep.越过 晚于 vbl.pass的过去分词
4,alone,[?'l??n],adj.单独的 独一无二的 孤独的 独自的adv.独自地
4,drop,[dr?p],v.滴下 落下  使声音等 变弱  使价格等 下降 使跌倒 使结束 不再讨论 停止与 某人 交往n.落下 下降 滴 滴剂 点滴 微量 下跌
4,ever,[ev?],adv.曾经 永远 不断地 在任何时候 究竟
4,present,[pr?'zent],n.赠品 礼物 现在 瞄准adj.现在的 出席的 当面的vt.介绍 引见 给 赠送 上演 提出 呈现vi.举枪瞄准
4,influence,[?nflu??ns],n.影响 感化 势力 有影响的人 或事   电磁 感应vt.影响 改变
4,practice,[pr?kt?s],n.实行 实践 实际 惯例 习惯 练习 实习 开业
4,negative,[neɡ?t?v],n.否定 负数 底片adj.否定的 消极的 负的 阴性的vt.否定 拒绝 接受 
4,productive,[pr?'d?kt?v],adj.生产性的 生产的 能产的 多产的
4,interpersonal,[?nt?'p??s?n?l],adj.人与人之间的 关于人与人之间关系的
4,cultural,[k?lt??r?l],adj.文化的
4,classify,[kl?s?fa?],vt.分类 分等
4,britain,[br?t?n],n.英国
4,interaction,[?nt?r'?k??n],n.交互作用 交感
4,universal,[ju?n?'v??s?l],adj.普遍的 全体的 通用的 宇宙的 世界的
4,affection,[?'fek??n],n.友爱 爱情 影响 疾病 倾向
4,background,[b?kɡra?nd],n.背景 后台 不重要或不引人注目的地方或位置
4,concern,[k?n's??n],vt.涉及 关系到n. 利害 关系 关心 关注 关注 所关心的是
4,approach,[?'pr??t?],n.接近 逼近 走进 方法 步骤 途径 通路vt.接近 动手处理vi.靠近
4,bridge,[br?d?],n.桥 船桥 鼻梁 桥牌vt.架桥 渡过 网桥
4,organization,[??ɡ?na?'ze???n],n.组织 机构 团体
4,whose,[hu?z], pron.谁的 那 些 人的
4,initiative,[?'n???t?v],n.主动
4,determine,[d?'t??m?n],v.决定 确定 测定 使下定决心 [律]使终止
4,topic,[t?p?k],n.话题 主题
4,shock,[??k],n.打击 震动 冲突 休克 突击 禾束堆 乱蓬的头发vt.使震动 使休克 使受电击 震惊得vi.震动 吓人adj.蓬乱的 浓密的
4,option,[?p??n],n.选项 选择权 [经]买卖的特权
4,desire,[d?'za??],vt.想望 期望 希望 请求 官方丈礼 n.愿望 心愿 要求v.要求
4,function,[f??k??n],n.官能 功能 作用 职责 典礼 仪式 [数]函数vi. 器官等 活动 运行 行使职责
4,perform,[p?'f??m],vt.履行 执行 表演 演出v.完成任务
4,everything,[evriθ??], pron.每件事物 万事
4,search,[s??t?],n.搜寻 查究v.搜索 搜寻 探求 调查
4,instead,[?n'sted],adv.代替 改为 抵作 更换
4,surprise,[s?'pra?z],n.惊奇 诧异 惊人之事 奇袭vt.使惊奇 奇袭adj.令人惊讶的
4,almost,[??lm??st],adv.几乎 差不多
4,party,[pɑ?ti],n.党 政党 随行人员 [律]当事人 社交会
4,side,[sa?d],n.边 旁边 面 侧面 胁 一方  一个 方面 摆架子adj.旁边的 侧面的 副的 枝节的vi.站在同一边
4,dictionary,[d?k??n?ri],n.字典 词典
4,pile,[pa?l],n.堆 大堆 高大建筑 <美口>大量钱财 <美>[核]反应堆 [电]电池组vi.堆起 堆积 积累 挤vt.堆于 累积 堆叠 打桩于 用桩支撑
4,regard,[r?'ɡɑ?d],n.关心 注意 尊敬 尊重 致意 问候 关系vt.看待 当作 重视 尊敬 关系
4,variety,[v?'ra??ti],n.变化 多样性 种种 品种 种类
4,several,[sevr?l],adj.几个 个别的 单独的 pron.几个
4,translation,[tr?ns'le???n],n.翻译 译文 转化 调任 转换[物][数]平移
4,translate,[tr?ns'le?t],vt.翻译 解释 转化 转变为 调动vi.翻译 能被译出
4,together,[t?'ɡe??],adv.共同 一起 合起来 集拢地
4,buy,[ba?],v.买n.购买 买卖
4,second,[sek?nd],n.秒 片刻 第二者 第二人 助手 次货 二等品adj.另一个 又一个 num.第二vt.赞成 支持
4,bean,[bi?n],n.豆 豆形果实
4,distribute,[d?'str?bju?t],vt.分发 分配 散布 分布 分类 分区v.分发
4,cope,[k??p],vi. 善于 应付  善于 处理
4,overall,[??v?r??l],adj.全部的 全面的
4,economic,[ek?'n?m?k],adj.经济 上 的 产供销的 经济学的
4,maker,[me?k?],n.制造者 上帝 [律]发期票的人
4,acquire,[?'kwa??],vt.获得 学到
4,tinker,[t??k?],vi.做焊锅匠 笨拙的修补vt.修补n.修补匠 焊锅
4,key,[ki?],n.钥匙 关键 解答  打字机等的 键 调子 对译本  开钟表、发条的 栓 要害vt.调节...的音调 锁上 插上栓 提供线索vi.使用钥匙n.[乐]键 调 基调
4,star,[stɑ?],n.星 恒星 明星 名角
4,talent,[t?l?nt],n.天才 才干 才能
4,nut,[n?t],n.坚果 螺母 螺帽 难解的问题
4,intake,[?nte?k],n. 水管、煤气管等的 入口 进口 通风口  在一定期间的 引入的量
4,carbon,[kɑ?b?n],n.[化]碳 元素符号C   一张 复写纸
4,minister,[?m?n?st?],n.部长 大臣
4,numerical,[nju?'mer?k?l],adj.数字的 用数表示的adj.数字的 用数字表示的
4,instinct,[?nst??kt],n.本能
4,nestle,[nes?l],vi.舒适地坐定 偎依vt.抱 安置
4,coca,[k??k?],n.[植]古柯 南美及西印度群岛所产的一种药用植物  古柯叶
4,cola,[k??l?],n.可乐树 其子含咖啡碱  可乐类饮料
3,suppose,[s?'p??z],vt.推想 假设 猜想vi.料想 conj.假使...结果会怎样
3,organize,[??ɡ?na?z],vt.组织 使有机化 给予生机vi.组织起来
3,participant,[pɑ?'t?s?p?nt],n.参与者 共享者adj.参与的
3,land,[l?nd],n.陆地  书面语 国家、国土 地带 [复数]地产 田产vi.靠岸 登陆 登岸 到达vt.使上岸 使登陆 使到达 使处于
3,send,[send],vt.送 寄 发送 派遣 打发
3,baby,[be?bi],n.婴孩
3,six,[s?ks], num.六 六个
3,complication,[k?mpl?'ke???n],n.复杂化  使复杂的 因素n.[医]并发症
3,newly,[nju?li],adv.重新 最近 以新的方式
3,expand,[?k'sp?nd],vt.使膨胀 详述 扩张vi.张开 发展
3,sell,[sel],v.出售 卖
3,dollar,[d?l?],n.元 美元
3,climate,[kla?m?t],n.气候 风土 思潮
3,effective,[?'fekt?v],adj.有效的 被实施的 给人深刻印象 有生力量
3,raise,[re?z],n.上升 高地 提出vt.升起 唤起 提高 使出现 解除 饲养 筹集 使复活
3,furniture,[f??n?t??],n.家具 设备 储藏物
3,cover,[k?v?],n.盖子 封面 藉口vt.覆盖 铺 掩饰 保护 掩护 包括 包含 适用vi.覆盖 涂 代替
3,else,[els],adj.别的 其他的adv.另外 其他
3,lunch,[l?nt?],n.午餐
3,treat,[tri?t],n.宴请 款待 请客vt.视为 对待 论述 治疗 款待vi.交涉 谈判 协商 款待 作东
3,discriminate,[d?'skr?m?ne?t],v.歧视 区别 区别待遇
3,account,[?'ka?nt],n.计算 帐目 说明 估计 理由 vi.说明 总计有 认为 得分 vt.认为
3,iii,[],num.罗马数字 3
3,trait,[tre?t],n.显著的特点 特性
3,confidence,[k?nf?d?ns],n.信心
3,indicate,[?nd?ke?t],vt.指出 显示 象征 预示 需要 简要地说明
3,endure,[?n'dj??],v.耐久 忍耐
3,permanent,[p??m?n?nt],adj.永久的 持久的
3,dream,[dri?m],v.做梦 梦见 梦想 想到n.梦 梦想
3,despite,[d?'spa?t], prep.不管 尽管 不论
3,twice,[twa?s],adv.两次 两倍
3,association,[?s??si'e???n],n.协会 联合 结交 联想
3,psychologist,[sa?'k?l?d??st],n.心理学者
3,document,[?d?kj?m?nt],n.公文 文件 文档 档案 文献v.证明
3,pressure,[pre??],n.压 压力 电压 压迫 强制 紧迫
3,nation,[ne???n],n.国家 民族
3,unpaid,[?n'pe?d],adj.未付款的 不受报酬的
3,housework,[ha?sw??k],n.家务 劳动 家务事
3,case,[ke?s],n.事 病例 案例 情形 场合 讼案 容器  语法 格
3,express,[?k'spres],adj.急速的 特殊的 明确的n.快车 快递 专使vt.表达 表示adv.乘快车 以快递方式
3,essay,[ese?],vt.企图 尝试n.企图 散文 小品文 随笔 短文 评论
3,spark,[spɑ?k],n.火花 火星 闪光 情郎 花花公子 活力 电信技师 瞬间放电vi.闪烁 发火花 求婚vt.发动 鼓舞 使有朝气 求婚
3,hundred,[h?ndr?d],n.一百个 人或物 一组 许多 num.百 百个adj.许多的
3,step,[step],n.脚步 步幅 步调 步伐 步骤 措施 梯级 台阶v.走 举步 移步 踏 产品数据转换规范
3,insight,[?nsa?t],n.洞察力 见识
3,link,[l??k],n.链环 连结物 火把 链接vt.连结 联合 挽vi.连接起来
3,medical,[med?k?l],n.医生 体格检查adj.医学的 内科的 <古> 医 药的
3,disturb,[d?'st??b],vt.弄乱 打乱 打扰 扰乱v.扰乱
3,discover,[d?'sk?v?],vt.发现 发觉v.发现
3,quite,[kwa?t],adv.相当 完全 十分 彻底
3,trust,[tr?st],vt.信任 信赖 盼望 希望 赊卖 热望 切望n. ～ in  信任 信赖
3,overwhelm,[??v?'welm],vt.淹没 覆没 受打击 制服 压倒
3,advise,[?d'va?z],vt.劝告 忠告 警告 建议
3,considerable,[k?n's?d?r?b?l],adj.相当大 或多 的 值得考虑的 相当可观的
3,estate,[?'ste?t],n.状态 不动产 时期 阶层 财产
3,realm,[relm],n.领域
3,generate,[d?en?re?t],vt.产生 发生
3,purchase,[p??t??s],vt.买 购买n.买 购买
3,desk,[desk],n.书桌 办公桌
3,estimate,[est?me?t],v.估计 估价 评估n.估计 估价 评估
3,discussion,[d?'sk???n],n.讨论
3,receive,[r?'si?v],vt.收到 接到 接收 遭到 受到 接待 接见
3,transfer,[?tr?nsf?r],n.迁移 移动 传递 转移 调任 转帐 过户 转让vt.转移 调转 调任 传递 转让 改变vi.转移 转学 换车
3,transform,[tr?ns'f??m],vt.转换 改变 改造 使...变形vi.改变 转化 变换n.[数]变换 式  [语]转换
3,convince,[k?n'v?ns],vt.使确信 使信服
3,serious,[s??ri?s],adj.严肃的 认真的 严重的
3,illustrate,[?l?stre?t],vt.举例说明 图解 加插图于 阐明vi.举例
3,ongoing,[?nɡ????],adj.正在进行的
3,development,[d?'vel?pm?nt],n.发展
3,gather,[ɡ???],n.集合 聚集vi.集合 聚集 渐增 蹙眉 化脓vt.使聚集 搜集 积聚 推断
3,isn,[],internal statement number [计] 内码
3,genetic,[d??'net?k],adj.遗传的 起源的
3,regardless,[r?'ɡɑ?dl?s],adj.不管 不顾 不注意
3,infant,[?nf?nt],n.婴儿 幼儿adj.婴儿的 幼稚的
3,short,[???t],n.简略 短路 短裤adj.短的 矮的 不足的 不够的  智力等 弱的 浅薄的 松脆的 简短adv.突然 缺乏 不足
3,per,[p?], prep.每 每一 由 经
3,transition,[tr?n'z???n],n.转变 转换 跃迁 过渡 变调
3,participate,[pɑ?'t?s?pe?t],vi.参与 参加 分享 分担
3,bad,[b?d],adj.劣质的 有害的 坏的 不利的 不健康的 严重的
3,master,[mɑ?st?],n.主人 雇主  男 教师 熟练技工 师傅 大师 硕士 <称呼>少爷adj.主人的 熟练的 高明的 主要的vt.征服 控制 精通
3,doctor,[d?kt?],n.医生 博士 [古]学者 <俚>修理师vt.授以博士学位 诊断 修改 <美>治疗 搀混 食物、饮料  修改vi.行医
3,available,[?'ve?l?b?l],adj.可用到的 可利用的 有用的 有空的 接受探访的
3,treatment,[tri?tm?nt],n.待遇 对待 处理 治疗
3,complicate,[k?mpl?ke?t],v. 使 变复杂
3,john,[d??n],n.约翰
3,compare,[k?m'pe?],v.比较 相比 比喻 n.比较
3,analysis,[?'n?l?s?s],n.分析 分解
3,average,[?v?r?d?],n.平均 平均水平 平均数 海损adj.一般的 通常的 平均的vt.平均为 均分 使平衡 达到平均水平vi.买进 卖出
3,message,[mes?d?],n.消息 通讯 讯息 音讯 差使 广告词 预言 教训vt.通知vi.带信息
3,week,[wi?k],n.星期 周
3,emphasize,[emf?sa?z],vt.强调 着重v.强调
3,equal,[i?kw?l],adj.相等的 均等的 胜任的 平静的 合适的 不相上下的n.相等的事物 或数量  对手 匹敌 同辈vt.等于 比得上
3,maybe,[me?bi],adv.大概 或许n.疑虑
3,youth,[ju?θ],n.青春 青年时期 初期 少年 青年们
3,cinema,[s?n?m?],n.电影院 电影
3,watch,[w?t?],n.注视 注意 手表 看守 守护 监视 值班人vt.看 注视 照顾 监视 警戒 守护 看守vi.观看 注视 守侯adj.手表的 挂表的
3,trend,[trend],n.倾向 趋势vi.伸向 倾向 通向
3,newspaper,[nju?zpe?p?],n.报纸
3,magazine,[?m?ɡ??zi?n],n.杂志 期刊 军火库 弹药库  枪、炮的 弹仓 胶卷盒
3,material,[m?'t??ri?l],n.材料 原料 物资 素材 布料adj.物质的 肉体的 具体的 重要的 实质性的
3,last,[lɑ?st],adj.最后的 临终的 末尾的 最近的 结论性的vi.持续 支持 维持vt.使维持 楦adv.最后 后来n.最后 末尾 临终 鞋楦头
3,article,[ɑ?t?k?l],n.文章 论文 物品 商品 项目 条款v.清楚说出adj.表达清晰的
3,entire,[?n'ta??],adj.全部的 完整的 整个
3,isolate,[a?s?le?t],vt.使隔离 使孤立 使绝缘 离析n.隔离种群
3,connect,[k?'nekt],v.连接 联合 关连
3,belong,[b?'l??],vi.属于 住
3,latin,[l?t?n],n.拉丁文 拉丁语 拉丁语族的adj.拉丁文的 拉丁语的 拉丁人的
3,closeness,[kl??sn?s],n.紧闭 狭窄
3,kiss,[k?s],n.吻  风 浪等 拂vt.吻 轻拂vi.接吻
3,degree,[d?'ɡri?],n.度数 度 程度 [律] 罪行的 轻重 学位 地位 身份 [数]次数
3,arabian,[??re?bi?n],adj.阿拉伯的 阿拉伯人的
3,although,[??l'???], conj.虽然 尽管
3,normal,[n??m?l],n.正规 常态 [数学]法线adj.正常的 正规的 标准的
3,definitely,[def?n?tli],adv.明确地 干脆地
3,importance,[?m'p??t?ns],n.重要 性  重大 价值 傲慢
3,open,[??p?n],n.公开 户外 空旷adj.开着的 敞开的  车等 无篷的 开阔的 营业着的 公开的 坦率的 未决定的vt.打开 公开 开放vi.展开 开始 展现
3,innovation,[?n??'ve???n],n.改革 创新
3,establish,[?'st?bl??],vt.建立 设立 安置 使定居 使人民接受 确定v.建立
3,computational,[k?mpj?'te???n?l],adj.计算的
3,draw,[dr??],v.拉 曳 牵 画 绘制 拖曳vt.汲取 领取 提取 引起 吸引vi.向...移动 挨近n.平局 和局 拖曳
3,innovative,[?n?v?t?v],adj.创新的 革新 主义 的
3,vary,[ve?ri],vt.改变 变更 使多样化vi.变化 不同 违反
3,plan,[pl?n],n.计划 设计图 平面图vt.计划 设计
3,gold,[ɡ??ld],n.黄金 金币adj.金的 金制的
3,police,[p?'li?s],n.警察队 警察机关 公安部门vt.管辖 维持治安adj.警察的 有关警察的
3,record,[r?'k??d],n.履历 档案 诉状 最高纪录 报告 唱片vt.记录 标明 将...录音vi.录音 被录音adj.创纪录的
3,security,[s?'kj??r?ti],n.安全
3,update,[?p'de?t],v.使现代化 修正 校正 更新n.现代化 更新
3,method,[meθ?d],n.方法
3,detail,[di?te?l],n.细节 详情vt.详述 细说
3,explanation,[ekspl?'ne???n],n.解释 解说 说明 辩解 互相讲明
3,tour,[t??],n.旅行 游历 旅游v.旅行 游历 巡回 漫游
3,famous,[fe?m?s],adj.著名的 出名的 <口>极好的 令人满意的
3,architect,[ɑ?k?tekt],n.建筑师
3,fashion,[f???n],n.样子 方式 流行 风尚 时样vt.形成 造 作 把...塑造成 使适应 使适合 改革 改变
3,dramatist,[dr?m?t?st],n.剧作家
3,stratford,[?str?tf?d],n.斯特拉特福德 m. 
3,april,[e?pr?l],n.四月 略作Apr 
3,marry,[m?ri],vt.娶 嫁 和...结婚
3,eight,[e?t],adj.八的 num.八 八个 第八n.八字形
3,position,[p?'z???n],n.位置 职位 立场 形势 阵地vt.安置 决定...的位置
3,dull,[d?l],adj.感觉或理解迟钝的 无趣的 呆滞的 阴暗的vt.使迟钝 使阴暗 缓和vi.变迟钝 减少
3,anything,[eniθ??], pron.任何事
3,literally,[l?t?r?li],adv.照字面意义 逐字地
3,ordinary,[??d?n?ri],adj.平常的 普通的 平凡的n.[律] 推事 <英>[宗]罪犯的忏悔牧师
3,truly,[tru?li],adv.真实地 不假
3,listener,[l?s?n?],n.收听者 听众
3,invite,[?n'va?t],vt.邀请 引起n.邀请
3,strategy,[str?t?d?i],n.策略 军略
3,freely,[fri?li],adv.自由地 直率地
3,begin,[b?'ɡ?n],v.开始 首先
3,accumulate,[?'kju?mj?le?t],v.积聚 堆积
3,wilding,[wa?ld??],n.野生植物 野生的苹果树 野生苹果adj.野的 野生的
3,richard,[r?t??d],n.理查德 男子名 
3,patient,[pe???nt],n.病人 患者adj.忍耐的 耐心的
3,promote,[pr?'m??t],vt.促进 发扬 提升 提拔 晋升为  n.升级 降级
3,beneficial,[ben?'f???l],adj.有益的 受益的 [法律]有使用权的adj.有益的 得利的 [律]有使用权的
3,reich,[ra?k],n.<德>  德意志 帝国 德国
3,awareness,[??we?n?s],n.知道 晓得
3,expectation,[ekspek'te???n],n.期待 预料 指望 展望 [数]期望 值 
3,travel,[?tr?vl],v.旅行 传播vi.行进 传播n.旅行
3,market,[mɑ?k?t],n.市场 销路 行情vt.在市场上交易 使上市vi.在市场上买卖
3,save,[se?v],vt.解救 保存 保全 保留 节省 储蓄vi.挽救 节省 救球 prep.除...之外n.救球  v.[计]保存 更新
3,reliable,[r?'la??b?l],adj.可靠的 可信赖的
3,roast,[r??st],v.烤 烘 烘烤 暴露于某种热力下以得温暖
3,easily,[i?z?li],adv.容易地 不费力地
3,machine,[m?'?i?n],n.机器 机械 机动车辆 机构 设计 机械般工作的人  政党的 领导集团 核心组织vt.机器制造 用车床加工
3,join,[d???n],vi.参加 结合 加入vt.连接 结合 参加 加入n.连接 结合 接合点 [计] 用子目录名取代驱动器符
3,hair,[he?],n.头发 毛发 毛状物 绒毛 些微
3,reflect,[r?'flekt],v.反射 反映 表现 反省 细想
3,protect,[pr?'tekt],vt.保护  n.保护 解除
3,global,[?ɡl??bl],adj.球形的 全球的 全世界的
3,complete,[k?m'pli?t],adj.全部的 完全的 完成的vt.完成 使完善
3,grader,[ɡre?d?],n.分类机 分级机
3,next,[nekst],n.adj.下次的 其次的 与...连接 下一个adv.下一次 其次
3,demand,[d?'mɑ?nd],n.要求 需求 量  需要v.要求 需要 要求知道 查询
3,total,[t??t?l],n.总数 合计adj.总的 全部的 整个的v.合计 总数达 达到
3,principle,[pr?ns?p?l],n.法则 原则 原理
3,foster,[f?st?],vt.养育 抚育 培养 鼓励 抱 希望  n.养育者 鼓励者
3,source,[s??s],n.来源 水源 消息来源 原始资料 发起者 源 源极
3,swell,[swel],v. 使 膨胀 增大
3,satisfaction,[s?t?s'f?k??n],n.满意 满足 令人满意的事物
3,user,[ju?z?],n.使用者 使用物 [律]权利的实际享有
3,influential,[?nflu?'en??l],adj.有影响的 有势力的
3,suit,[su?t],v.合适 适合 相配 合式 适宜于n.一套衣服
3,scale,[ske?l],n.刻度 衡量 比例 数值范围 比例尺 天平 等级vt.依比例决定 攀登 测量vi.剥落 生水垢 重 攀登 衡量
3,barely,[be?li],adv.仅仅 刚刚 几乎不能
3,chance,[t?ɑ?ns],n.机会 可能性 偶然性 运气v.碰巧 偶然发生 冒...的险adj.偶然的
3,power,[pa??],n.能力 力量 动力 权力 [数]幂 [物]功率vt.使...有力量 供以动力 激励
3,near,[n?r],adj.亲近的 亲密的 近  车 马等 左侧的 吝啬的adv. 时间 空间方面 近 不远 prep.在...近旁 近...v.接近 走近
3,ahead,[?'hed],adj.adv.在前 向前 提前 在前面
3,weak,[wi?k],adj.不牢固的 弱的 虚弱的 软弱的 淡的 疲软的 无力的 不耐用的
3,mis,[?ema?'es], Management Information System 管理信息系统 Management Information System 管理情报系统
3,passionate,[p???n?t],adj.充满热情的
3,recall,[ri?k??l],vt.回忆 回想 记起 取消n.召回
3,signal,[s?ɡn?l],n.信号adj.信号的v.发信号 用信号通知
3,depth,[depθ],n.深 深度 深奥 深刻
3,remember,[r?'memb?],vt.回忆起 铭记 纪念vi.记得
3,meal,[mi?l],n.一餐 一顿饭 膳食  谷类的 粗粉vi.进餐
3,consume,[k?n'sju?m],vt.消耗 消费 消灭 大吃大喝 吸引vi.消灭 毁灭
3,energy,[en?d?i],n.精力 精神 活力 [物]能量
3,addiction,[?'d?k??n],n.沉溺 上瘾
3,precise,[pr?'sa?s],adj.精确的 准确的n.精确
3,balance,[b?l?ns],n.秤 天平 平衡 [商] 收支差额 结余 余额v.平衡 称 权衡 对比 结算n.资产平稳表
3,conclusion,[k?n'klu???n],n.结束 缔结 结论
3,feed,[fi?d],n.饲养 饲料  动物或婴儿的 一餐vt.喂养 饲养 放牧 靠...为生vi.吃东西 流入
3,finger,[f??ɡ?],n.手指 尤指大拇指以外的手指  指状物 指针 查找器 查找因特网用户的程序 v.用手指拨弄 伸出
3,consumer,[k?n?sju?m?],n.消费者
3,gig,[ɡ?ɡ],n.旋转物v.乘轻便双轮马车
2,dog,[d?ɡ],n.狗 犬 类似犬的动物 卑鄙的人 小人 坏蛋vt.跟踪 尾随
2,cargo,[kɑ?ɡ??],n.船货  车、船、飞机等运输的 货物
2,flight,[fla?t],n.飞行 逃走 飞跃 飞机的航程 班机 追逐 楼梯的一段 射程vi.成群飞行 迁徙vt.射击 飞禽  使惊飞
2,hire,[ha??],n.租金 工钱 租用 雇用vt.雇请 出租vi.受雇
2,jet,[d?et],n.喷射 黑玉v.喷射adj.黑玉色的 墨黑的 喷气机
2,monitor,[?m?nit?],n.班长 监听器 监视器 监控器vt.监控v.监控
2,wed,[wed],v.娶 嫁 结婚n. 星期三 =Wednesday 
2,picture,[p?kt??],n.画 图画 照片 像 美景 描述 相似物 化身vt.画 描绘
2,silver,[s?lv?],n.银 银子vt.镀银
2,thousand,[θa?z?nd], num.一千 一千个n.[pl.] 许多 无数
2,return,[r?'t??n],n.回来 返回 来回票 利润 回答adj.返回的 回程的 报答的 反向的 重现的vi.回返 归还vt.归还 回报 报告 获得 回答 返回
2,right,[ra?t],n.正义 公正 正确 权利 右边 右派adj.正当的 正确的 对的 合适的 恰当的 健康的 健全的 正面的adv.正当地 正确地 一直地 直接地 完全地 彻底地 在右边
2,sharply,[?ɑ?pli],adv.锐利地 急剧地
2,meat,[mi?t],n. 食用 肉 肉类
2,australia,[?'stre?l??],n.澳洲 澳大利亚
2,canada,[k?n?d?],n.加拿大
2,friendly,[frendli],adj.友好的 友谊的
2,sport,[sp??t],n.运动 [pl.] 运动会
2,goose,[ɡu?s],n.鹅 雌鹅 鹅肉  裁缝用的有长曲柄的 熨斗vt.突然加大油门 嘘骂
2,repaint,[ri?'pe?nt],v.重漆 重画v.重新绘制
2,calculate,[k?lkj?le?t],v.计算 考虑 计划 打算v.<美>以为 认为
2,trouble,[tr?b?l],n.烦恼 麻烦 动乱 纠纷 疾病 故障 问题vt. 使 烦恼 麻烦 打扰 麻烦自己 费神 费心
2,cultivate,[k?lt?ve?t],vt.培养 耕作
2,secondary,[sek?nd?ri],adj.次要的 二级的 中级的 第二的
2,achievement,[?'t?i?vm?nt],n.成就 功绩
2,promptly,[?pr?mptli],adv.敏捷地 迅速地
2,finish,[f?n??],n.完成 结束 磨光 末道漆 完美vt.完成 结束 用完 毁掉 使完美vi.结束 终结 停止 终止
2,tire,[ta??],n.<口>疲劳 劳累 轮胎 头饰vt.使疲倦 使厌烦 梳理vi.疲劳 厌倦
2,tackle,[t?k?l],n.工具 复滑车 滑车 用具 装备 扭倒vt.固定 应付 难事等  处理 解决 抓住vi.捉住 扭住 扭倒
2,standard,[st?nd?d],n.旗 军旗 标准 规格 本位adj.标准的 权威 第一流的
2,pound,[pa?nd],n.磅 英镑 重击 鱼塘 兽栏 拘留所vt.强烈打击 捣烂 监禁 关入栏vi.连续重击 连续敲打 苦干
2,enough,[?'n?f],adj.足够的 充足的 只够做...的n.充足 足够 很多adv.足够地 充分地int.够了!
2,facility,[f?'s?l?ti],n.容易 简易 灵巧 熟练 便利 敏捷 设备 工具
2,campaign,[k?m'pe?n],n.[军]战役  政治或商业性 活动 竞选运动vi.参加活动 从事活动 作战
2,intelligent,[?n'tel?d??nt],adj.聪明的 伶俐的 有才智的 [计]智能的
2,style,[sta?l],n.风格 时尚 文体 风度 类型 字体vt.称呼 设计 使合潮流 使铁笔作装饰画
2,lie,[la?],vi.躺 平放 展现 展开 位于v.说谎 躺n.谎话 谎言
2,emphasis,[emf?s?s],n.强调 重点
2,percentage,[p?'sent?d?],n.百分数 百分率 百分比
2,passion,[p???n],n.激情 热情 耶稣的受难和死亡
2,foundation,[fa?n'de???n],n.基础 根本 建立 创立 地基 基金 基金会
2,deeply,[di?pli],adv.深深地
2,ab,[?b], [军] Airborne 空运  历法 阿布月 即犹太教历5月 
2,accurately,[?kj?r?tl?],adv.正确地 精确地
